,0
532,22045337
533,26826406
534,30642748
535,28429146
536,20534480
537,25118196
538,11279059
539,28371352
540,30379275
541,2846961
542,22898272
543,30607703
544,25720770
545,11782424
546,12515039
547,19772191
548,3027266
549,12208141
550,15798371
551,15214016
552,22535952
553,22364517
554,19103152
555,9367300
556,19791729
557,1311909
558,11181577
559,20598281
560,28409271
561,10360771
562,9878253
563,30419932
564,31273716
565,24986921
566,24781757
567,22036843
568,28853723
569,23918762
570,27671926
571,17908801
572,23408181
573,11510939
574,18614015
575,30429455
576,25214534
577,28753212
578,30659264
579,11288709
580,3218509
581,21971050
582,23918514
583,30950016
584,29715184
585,19364667
586,15525270
587,11409433
588,16601896
589,22488715
590,17518546
591,24028823
592,24341803
593,30473481
594,17604671
595,16566017
596,16217706
597,19625251
598,15159508
599,29481804
600,25771764
601,25629267
602,10838110
603,21907147
604,17162199
605,30140060
606,20624914
607,24316278
608,19269308
609,10805329
610,14764913
611,24299452
612,29601977
613,8392291
614,10937860
615,20200222
616,31276579
617,10556303
618,26182505
619,21749722
620,30995105
621,19341700
622,27080638
623,22422207
624,16023078
625,24262866
626,11317352
627,16773507
628,17275378
629,26026795
630,20453710
631,22336309
632,2587127
633,20436434
634,19924563
635,11044474
636,11509016
637,9837812
638,2829705
639,26016410
640,28752220
641,2985393
642,19036942
643,25687896
644,27186703
645,28575497
646,16765830
647,25009317
648,21266382
649,12169463
650,1327164
651,24462369
652,9063742
653,15576045
654,28711503
655,27400804
656,29116603
657,21931170
658,25620325
659,32677908
660,14557577
661,26804654
662,31341105
663,22326555
664,28857146
665,24374964
666,11165261
667,15975579
668,25051967
669,16527507
670,22465034
671,25351680
672,10230482
673,30906981
674,29506883
675,11004438
676,26565911
677,18807927
678,21696386
679,30743023
680,29929013
681,31290619
682,17323145
683,27390132
684,10746566
685,25393721
686,21150889
687,15269007
688,24461907
689,22273117
690,11782998
691,32130224
692,23631824
693,32203162
694,28371264
695,18461509
696,12013909
697,15885549
698,11673586
699,1519928
700,23878239
701,18778816
702,29429571
703,29933018
704,18306244
705,3095672
706,26163321
707,29917077
708,24063851
709,1655984
710,18583168
711,22019594
712,27756633
713,29070651
714,12812953
715,26824698
716,12943968
717,10647889
718,29512743
719,14729820
720,10443880
721,24284231
722,11278850
723,23290025
724,25037205
725,28122886
726,25111564
727,29518248
728,25771765
729,27986404
730,27345786
731,14970746
732,21712670
733,16225813
734,11349233
735,9029077
736,31454184
737,18176892
738,29531337
739,30098844
740,14607829
741,19682572
742,19526370
743,10622737
744,27155576
745,28630220
746,21303704
747,15708440
748,29407793
749,20411357
750,19278689
751,17293137
752,10566210
753,15184630
754,24476000
755,7603511
756,9533783
757,10716764
758,27680221
759,11398016
760,12233056
761,24792523
762,22001850
763,26679672
764,26995359
765,14694057
766,17544574
767,9825742
768,29645070
769,29449072
770,17275787
771,12471464
772,9932960
773,10477264
774,23006856
775,20976001
776,9771659
777,8186718
778,25337734
779,32061767
780,1950835
781,27647878
782,10961796
783,1818542
784,20671283
785,9029638
786,8809113
787,3705687
788,9404143
789,9701704
790,7781238
791,30642644
792,1962052
793,1894466
794,25352051
795,29534959
796,21533826
797,9677732
798,11579332
799,28807341
800,15561107
801,2161456
802,1324295
803,29912984
804,22027147
805,2711184
806,22531495
807,2556504
808,8977763
809,11715003
810,16735000
811,9832255
812,27748354
813,27086477
814,23087375
815,21378381
816,7515689
817,2556715
818,28004807
819,3037990
820,12673655
821,12393131
822,24760192
823,25539952
824,29224958
825,14608542
826,9361028
827,1312676
828,23421922
829,9858014
830,1665507
831,27270536
832,25350944
833,7605803
834,21656172
835,23853091
836,7539213
837,21824913
838,18783964
839,7224915
840,29428181
841,9747038
842,14206462
843,9819704
844,7539211
845,3941763
846,2141053
847,3233856
848,11498428
849,3127785
850,2750483
851,6284511
852,8659540
853,7683951
854,2426710
855,15689359
856,1654965
857,3311181
858,2983146
859,1708672
860,7573159
861,25051427
862,4087029
863,15122711
864,9567398
865,1676565
866,6538003
867,7684886
868,4212914
869,6539445
870,18195149
871,2586779
872,7533932
873,2440378
874,25605636
875,3420352
876,8188239
877,3591825
878,30139652
879,3081689
880,2879480
881,30021052
882,3776884
883,1707231
884,12612282
885,1723945
886,6517426
887,23812202
888,2468818
889,3476777
890,9008538
891,3174658
892,6864396
893,6243840
894,8272126
895,3469675
896,7488049
897,2998664
898,8786077
899,2578357
900,7172439
901,21451360
902,8909455
903,30103161
904,20434700
905,16896309
906,20142534
907,15562445
908,9268109
909,6588384
910,2315642
911,6267207
912,3037987
913,6686915
914,20680636
915,7574457
916,17426723
917,6847442
918,6493501
919,21357833
920,3951702
921,3964959
922,7202134
923,1376966
924,3494828
925,3703284
926,6387532
927,2559009
928,6684256
929,18500570
930,25607332
931,2680206
932,25475150
933,7539212
934,17109792
935,4093772
936,628743
937,10417279
938,21704543
939,6517427
940,8324966
941,16291903
942,18487244
943,2516693
944,9634530
945,2894755
946,21038416
947,3430177
948,15913923
949,2682348
950,17923349
951,17707174
952,6527732
953,3746948
954,899728
955,7679906
956,21305355
957,2479017
958,18991199
959,7444053
960,3366206
961,3279980
962,6729621
963,3843624
964,9633722
965,21235791
966,20691285
967,2408988
968,2705786
969,2480601
970,1689088
971,9472043
972,16957900
973,3658367
974,16545482
975,7436359
976,2401429
977,10493736
978,4050328
979,17549060
980,2117919
981,9672418
982,2309698
983,10210128
984,22537151
985,3948452
986,6295256
987,3819771
988,6517102
989,2623662
990,22114215
991,9056547
992,1180638
993,28419689
994,1380672
995,6520122
996,7915877
997,3579671
998,6690495
999,1715570
1000,19054397
1001,16177225
1002,8696336
1003,7172473
1004,6652994
1005,22237560
1006,6248004
1007,8012387
1008,28506336
1009,27027826
1010,31241862
1011,31407690
1012,615502
1013,2796927
1014,21891941
1015,7468762
1016,6189972
1017,6875541
1018,2773936
1019,18546365
1020,19501198
1021,1384324
1022,2538146
1023,2897431
1024,7684945
1025,31707217
1026,22980518
1027,11156771
1028,6097565
1029,1284628
1030,33138795
1031,2683204
1032,2444499
1033,16130100
1034,3386829
1035,3681326
1036,2454299
1037,2161209
1038,89945
1039,4022363
1040,22000311
1041,19766516
1042,2578374
1043,6524872
1044,61263
1045,22641302
1046,6728562
1047,10474505
1048,3552451
1049,4056832
1050,1720927
1051,15514902
1052,22006280
1053,1968793
1054,2360475
1055,14742939
1056,30423451
1057,7461509
1058,7530633
1059,26735972
1060,7509234
1061,20708716
1062,6531070
1063,22833457
1064,1376553
1065,7320297
1066,3757269
1067,3140473
1068,1711121
1069,3561956
1070,10401787
1071,3029738
1072,6874949
1073,9305348
1074,7541731
1075,575890
1076,6198480
1077,3587618
1078,3948997
1079,7287005
1080,19478085
1081,15929042
1082,15888483
1083,28865037
1084,7462018
1085,6299222
1086,3293554
1087,3652454
1088,20803213
1089,19010300
1090,16181814
1091,10319885
1092,19955343
1093,24478108
1094,25144894
1095,30980503
1096,2302219
1097,3345458
1098,12203137
1099,27079147
1100,17616409
1101,15452666
1102,18693274
1103,6212904
1104,159821
1105,806052
1106,43201
1107,23802616
1108,27993207
1109,30292746
1110,30632081
1111,18166768
1112,25896249
1113,26462614
1114,7908679
1115,21459776
1116,26831127
1117,19267410
1118,29122497
1119,697324
1120,28973395
1121,6102873
1122,9286459
1123,31673819
1124,20002125
1125,25601413
1126,20835892
1127,15473177
1128,21846590
1129,24462778
1130,8598634
1131,1551669
1132,3137520
1133,21895644
1134,20022530
1135,7937579
1136,8337946
1137,2517464
1138,17152059
1139,11781147
1140,3034892
1141,18197404
1142,16552546
1143,3139934
1144,20685142
1145,18504677
1146,16049940
1147,28918066
1148,9818854
1149,11102541
1150,8068153
1151,20002461
1152,7782940
1153,2104971
1154,20462777
1155,21723463
1156,10486093
1157,7628391
1158,15384102
1159,3932899
1160,18709504
1161,2544213
1162,20652410
1163,23572181
1164,28657129
1165,8962591
