,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
231,,,,,,,,,,,P49411,P03886,O60238,O95847,P50336,Q16526,,,,N/A
232,,,,,,,,,,,Q16822,P17612,Q9NS18,P05108,Q8TD30,O95139,,,,N/A
233,,,,,,,,,,,O00763,O75828,O75746,Q08257,P31040,P23378,,,,N/A
234,,,,,,,,,,,O43464,P23378,Q9UJS0,O75964,Q9HBH1,Q96RQ3,,,,N/A
235,,,,,,,,,,,Q969Q5,P23434,Q96TC7,P07954,P40926,P26440,,,,N/A
236,,,,,,,,,,,Q9UBX3,P31327,P10809,O95822,P30405,Q9H9B4,,,,N/A
237,,,,,,,,,,,P23786,Q9NR28,P12074,Q9NX40,Q9BXK5,Q9NRV9,,,,N/A
238,,,,,,,,,,,Q9Y6H3,Q969S9,P14854,P11182,Q8IVH4,O94826,,,,N/A
239,,,,,,,,,,,Q13323,Q8WVM0,Q02221,O00142,Q9Y6J8,Q8TB37,,,,N/A
240,,,,,,,,,,,Q92934,Q96PE7,Q6YFQ2,O00746,O43678,Q13794,,,,N/A
241,,,,,,,,,,,O75306,O95299,O15527,O75414,Q13057,P06746,,,,N/A
242,,,,,,,,,,,O43766,P40926,Q96RP9,Q16635,P54868,P0DKB6,,,,N/A
243,,,,,,,,,,,P13073,O43772,P17568,O00483,Q13472,Q9Y5U8,,,,N/A
244,,,,,,,,,,,Q96KJ9,P53396,,Q9UIF7,P21796,P17568,,,,N/A
245,,,,,,,,,,,O75489,P03891,,O43847,Q7L3T8,Q9BUP0,,,,N/A
246,,,,,,,,,,,O00483,Q9UHK6,,P22830,Q02978,Q13057,,,,N/A
247,,,,,,,,,,,P34897,P07108,,Q9UKG9,P49821,Q16635,,,,N/A
248,,,,,,,,,,,Q9NPE2,P45880,,P07195,Q8N442,Q9H2U2,,,,N/A
249,,,,,,,,,,,Q96CQ1,O14925,,Q8TDB4,Q9Y6E7,P31327,,,,N/A
250,,,,,,,,,,,P11182,O00483,,O95139,P25705,O95140,,,,N/A
251,,,,,,,,,,,Q5EBM0,O00746,,Q9BYD1,O75390,O75570,,,,N/A
252,,,,,,,,,,,Q9Y3B8,O75414,,Q9H9B4,P07954,O15270,,,,N/A
253,,,,,,,,,,,Q9NUL7,O95258,,O15229,Q8IVS8,Q07021,,,,N/A
254,,,,,,,,,,,Q7L2E3,O43766,,P50416,P10109,Q9NZJ7,,,,N/A
255,,,,,,,,,,,Q92843,P82932,,Q9NYY8,P50416,P27695,,,,N/A
256,,,,,,,,,,,Q13472,Q16540,,Q9Y6H1,Q08AH3,Q96IL0,,,,N/A
257,,,,,,,,,,,Q08257,P28838,,Q9NRA0,Q8N159,Q9UBX3,,,,N/A
258,,,,,,,,,,,P36957,Q9NS69,,O75947,Q07973,Q96RP9,,,,N/A
259,,,,,,,,,,,Q9UBJ2,Q9BXR0,,Q96I59,Q4G0N4,P07954,,,,N/A
260,,,,,,,,,,,P00414,P15538,,P53396,Q9UF12,O75027,,,,N/A
261,,,,,,,,,,,O43772,Q9Y2D0,,Q9UJA2,Q9BW92,P31937,,,,N/A
262,,,,,,,,,,,Q8IWW8,P23786,,P12074,O96008,Q16774,,,,N/A
263,,,,,,,,,,,Q16795,P36776,,Q02221,P45954,Q8IXL7,,,,N/A
264,,,,,,,,,,,P22234,Q6J4K2,,Q6YFQ2,Q9BSE5,Q16822,,,,N/A
265,,,,,,,,,,,P50336,Q16774,,Q96RR1,Q969P6,Q9H611,,,,N/A
266,,,,,,,,,,,Q08J23,Q96Q11,,P33121,Q16526,P03915,,,,N/A
267,,,,,,,,,,,O95822,Q9UJA2,,P05165,Q15046,Q7KZF4,,,,N/A
268,,,,,,,,,,,Q567V2,Q96PN6,,P17568,Q8N3J5,Q9BXR0,,,,N/A
269,,,,,,,,,,,O75251,O75964,,P33316,P09622,O75306,,,,N/A
270,,,,,,,,,,,Q07021,O15229,,P30048,Q9BPX6,P51649,,,,N/A
271,,,,,,,,,,,O43920,Q8NFF5,,P00846,P08559,Q8N3Z0,,,,N/A
272,,,,,,,,,,,O95182,Q9UKA2,,P36776,Q9UBX3,P11177,,,,N/A
273,,,,,,,,,,,P55809,P21953,,Q16774,Q9BXR0,P29803,,,,N/A
274,,,,,,,,,,,P39210,O75616,,P35232,Q9H4A6,P11182,,,,N/A
275,,,,,,,,,,,P80404,O00142,,P23786,P03886,P42704,,,,N/A
276,,,,,,,,,,,P10620,O75608,,Q09013,O15239,Q86SX6,,,,N/A
277,,,,,,,,,,,P03928,P33897,,P00156,P14324,P23786,,,,N/A
278,,,,,,,,,,,O95258,Q16822,,O94826,P03915,Q96PE7,,,,N/A
279,,,,,,,,,,,P08559,Q13232,,P54868,P55809,P45880,,,,N/A
280,,,,,,,,,,,Q16635,O95139,,P08559,P35914,Q5ST30,,,,N/A
281,,,,,,,,,,,,P27144,,P10515,Q99497,P49189,,,,N/A
282,,,,,,,,,,,,Q07973,,Q13323,Q02252,O43766,,,,N/A
283,,,,,,,,,,,,Q9NS18,,P25874,P11177,Q8N8Q8,,,,N/A
284,,,,,,,,,,,,P12694,,Q92947,Q8WWR8,Q07817,,,,N/A
285,,,,,,,,,,,,Q9P0J0,,O95168,O43521,Q04837,,,,N/A
286,,,,,,,,,,,,Q13323,,Q8N4Q0,Q8IWW8,Q02338,,,,N/A
287,,,,,,,,,,,,P03915,,Q13794,O95139,Q96T52,,,,N/A
288,,,,,,,,,,,,P56962,,O94761,Q9Y697,Q9BRT2,,,,N/A
289,,,,,,,,,,,,Q9HAV7,,P03891,P12694,O14874,,,,N/A
290,,,,,,,,,,,,P49789,,Q16595,Q8N5G0,Q14790,,,,N/A
291,,,,,,,,,,,,P07954,,O75127,Q7Z695,Q16718,,,,N/A
292,,,,,,,,,,,,P04181,,Q9H2D1,P16260,P54819,,,,N/A
293,,,,,,,,,,,,Q14318,,O75489,Q9NX14,P16219,,,,N/A
294,,,,,,,,,,,,Q96AY3,,O75027,Q6PI48,Q2M3C7,,,,N/A
295,,,,,,,,,,,,P80404,,Q9UHN1,Q969V5,O60260,,,,N/A
296,,,,,,,,,,,,Q9NR77,,P55809,Q8IWA4,O95299,,,,N/A
297,,,,,,,,,,,,P11177,,Q96AY3,O75027,P00403,,,,N/A
298,,,,,,,,,,,,P12074,,Q16775,Q9NNW7,Q86VU5,,,,N/A
299,,,,,,,,,,,,P14854,,Q15526,Q02127,P23434,,,,N/A
300,,,,,,,,,,,,Q16775,,Q9UHK6,Q9UJS0,Q8NE86,,,,N/A
301,,,,,,,,,,,,Q02221,,Q9Y5T4,O75964,P22557,,,,N/A
302,,,,,,,,,,,,Q6YFQ2,,Q9BV35,Q96H96,Q5T440,,,,N/A
303,,,,,,,,,,,,Q96RP9,,P28288,P03905,P56556,,,,N/A
304,,,,,,,,,,,,Q9P2J9,,Q96IL0,Q13323,Q9NRY6,,,,N/A
305,,,,,,,,,,,,P50416,,P11177,O95202,Q6UB35,,,,N/A
306,,,,,,,,,,,,P22234,,Q13268,P07195,P13995,,,,N/A
307,,,,,,,,,,,,P22557,,P00403,Q8TBP6,Q9H903,,,,N/A
308,,,,,,,,,,,,Q15118,,Q7KZF4,Q00059,P10606,,,,N/A
309,,,,,,,,,,,,P49411,,Q96I99,Q9NZJ7,O43847,,,,N/A
310,,,,,,,,,,,,P07919,,Q15388,Q9H611,P48735,,,,N/A
311,,,,,,,,,,,,Q6ZT89,,Q96DC8,O95571,Q9NP92,,,,N/A
312,,,,,,,,,,,,Q8NC60,,Q14197,Q02218,Q9NVV4,,,,N/A
313,,,,,,,,,,,,Q9BQT8,,O75746,Q13825,Q8WUT9,,,,N/A
314,,,,,,,,,,,,Q8IXI1,,Q9BPX6,Q9UKU7,O43708,,,,N/A
315,,,,,,,,,,,,Q9Y3D6,,Q9GZT3,Q86YH6,Q9NR77,,,,N/A
316,,,,,,,,,,,,Q7Z5L4,,P49748,Q9Y4W6,O43181,,,,N/A
317,,,,,,,,,,,,Q4J6C6,,P19404,Q16718,P82932,,,,N/A
318,,,,,,,,,,,,O95168,,P24311,Q9NRV9,Q9H0U6,,,,N/A
319,,,,,,,,,,,,Q96TA2,,P49789,P17568,Q96GC5,,,,N/A
320,,,,,,,,,,,,Q6DKK2,,P30049,Q15388,P78537,,,,N/A
321,,,,,,,,,,,,Q9BUP3,,P06576,Q7KZF4,O95363,,,,N/A
322,,,,,,,,,,,,P24311,,O00763,A8MXV4,Q8WVM0,,,,N/A
323,,,,,,,,,,,,P48047,,Q9Y3D6,O00746,P22234,,,,N/A
324,,,,,,,,,,,,P13995,,O43708,O75414,O75616,,,,N/A
325,,,,,,,,,,,,P17568,,O15239,Q13232,P13196,,,,N/A
326,,,,,,,,,,,,Q15031,,Q14596,P10515,O75390,,,,N/A
327,,,,,,,,,,,,Q9UIJ7,,Q8N5M1,Q02338,,,,,N/A
328,,,,,,,,,,,,P54819,,Q9H825,Q96RQ3,,,,,N/A
329,,,,,,,,,,,,O75521,,Q9UK39,Q8NE22,,,,,N/A
330,,,,,,,,,,,,P25705,,P51649,Q16891,,,,,N/A
331,,,,,,,,,,,,P10515,,O75891,Q9H825,,,,,N/A
332,,,,,,,,,,,,P28331,,P50440,P13073,,,,,N/A
333,,,,,,,,,,,,P27105,,O15382,Q5JTZ9,,,,,N/A
334,,,,,,,,,,,,Q13162,,Q9Y6N5,Q9Y3A0,,,,,N/A
335,,,,,,,,,,,,Q96DP5,,P13196,O43865,,,,,N/A
336,,,,,,,,,,,,Q8NI60,,P36542,Q13268,,,,,N/A
337,,,,,,,,,,,,Q6PI48,,Q9Y6C9,O43464,,,,,N/A
338,,,,,,,,,,,,Q9NRD5,,P49411,Q9BV79,,,,,N/A
339,,,,,,,,,,,,Q9H3K2,,O75323,Q14318,,,,,N/A
340,,,,,,,,,,,,Q96A46,,Q13084,Q96AY3,,,,,N/A
341,,,,,,,,,,,,Q9H845,,Q16611,P03923,,,,,N/A
342,,,,,,,,,,,,Q96TC7,,P19099,Q9BZJ4,,,,,N/A
343,,,,,,,,,,,,Q9P0U1,,O14925,Q16854,,,,,N/A
344,,,,,,,,,,,,O94826,,Q8TAE8,P28331,,,,,N/A
345,,,,,,,,,,,,P53007,,Q330K2,P19404,,,,,N/A
346,,,,,,,,,,,,P22695,,Q96RP9,O60313,,,,,N/A
347,,,,,,,,,,,,O95169,,P03886,O95140,,,,,N/A
348,,,,,,,,,,,,Q8N1Q8,,O95169,Q9H7Z7,,,,,N/A
349,,,,,,,,,,,,Q9NRA0,,Q9H4A6,Q7Z434,,,,,N/A
350,,,,,,,,,,,,Q16595,,Q92523,O15229,,,,,N/A
351,,,,,,,,,,,,O95202,,P50336,P22557,,,,,N/A
352,,,,,,,,,,,,P05141,,Q96PE7,Q9NZB8,,,,,N/A
353,,,,,,,,,,,,Q14596,,Q7KZN9,P09110,,,,,N/A
354,,,,,,,,,,,,P03905,,O43272,P21953,,,,,N/A
355,,,,,,,,,,,,P03901,,Q9GZY8,Q12983,,,,,N/A
356,,,,,,,,,,,,Q9H9B4,,Q9BRX8,Q5RI15,,,,,N/A
357,,,,,,,,,,,,O43708,,Q13162,Q9UJ68,,,,,N/A
358,,,,,,,,,,,,Q9H936,,P43304,O14925,,,,,N/A
359,,,,,,,,,,,,Q9H1K4,,Q8N3J5,P49773,,,,,N/A
360,,,,,,,,,,,,Q16881,,Q16854,O75306,,,,,N/A
361,,,,,,,,,,,,Q8NBU5,,P07148,P39210,,,,,N/A
362,,,,,,,,,,,,Q86WU2,,P55084,P42765,,,,,N/A
363,,,,,,,,,,,,Q8WVC6,,P49821,Q9NPJ3,,,,,N/A
364,,,,,,,,,,,,,,O95299,P49753,,,,,N/A
365,,,,,,,,,,,,,,Q8IYB8,Q8WXI4,,,,,N/A
366,,,,,,,,,,,,,,Q9NXA8,Q8N1Q8,,,,,N/A
367,,,,,,,,,,,,,,Q02978,P12074,,,,,N/A
368,,,,,,,,,,,,,,O95258,P14854,,,,,N/A
369,,,,,,,,,,,,,,Q96A46,Q02221,,,,,N/A
370,,,,,,,,,,,,,,Q15390,Q6YFQ2,,,,,N/A
371,,,,,,,,,,,,,,P08574,,,,,,N/A
372,,,,,,,,,,,,,,Q99757,,,,,,N/A
373,,,,,,,,,,,,,,Q92843,,,,,,N/A
374,,,,,,,,,,,,,,Q8WV60,,,,,,N/A
375,,,,,,,,,,,,,,Q6P1Q0,,,,,,N/A
376,,,,,,,,,,,,,,Q6PML9,,,,,,N/A
377,,,,,,,,,,,,,,Q32NB8,,,,,,N/A
378,,,,,,,,,,,,,,P56556,,,,,,N/A
379,,,,,,,,,,,,,,Q13686,,,,,,N/A
380,,,,,,,,,,,,,,Q9NRD5,,,,,,N/A
381,,,,,,,,,,,,,,Q8N573,,,,,,N/A
382,,,,,,,,,,,,,,Q9UDW1,,,,,,N/A
383,,,,,,,,,,,,,,O95178,,,,,,N/A
384,,,,,,,,,,,,,,Q9NVS2,,,,,,N/A
385,,,,,,,,,,,,,,P27144,,,,,,N/A
386,,,,,,,,,,,,,,P04181,,,,,,N/A
387,,,,,,,,,,,,,,P29803,,,,,,N/A
388,,,,,,,,,,,,,,Q4U2R6,,,,,,N/A
389,,,,,,,,,,,,,,P15954,,,,,,N/A
390,,,,,,,,,,,,,,O14957,,,,,,N/A
391,,,,,,,,,,,,,,Q9HCL2,,,,,,N/A
392,,,,,,,,,,,,,,Q16654,,,,,,N/A
393,,,,,,,,,,,,,,P51687,,,,,,N/A
394,,,,,,,,,,,,,,Q53H12,,,,,,N/A
395,,,,,,,,,,,,,,P34897,,,,,,N/A
396,,,,,,,,,,,,,,Q9H0U6,,,,,,N/A
397,,,,,,,,,,,,,,Q96IX5,,,,,,N/A
398,,,,,,,,,,,,,,O75616,,,,,,N/A
399,,,,,,,,,,,,,,Q9NZ45,,,,,,N/A
400,,,,,,,,,,,,,,Q96T52,,,,,,N/A
401,,,,,,,,,,,,,,Q9BVS5,,,,,,N/A
402,,,,,,,,,,,,,,Q13011,,,,,,N/A
403,,,,,,,,,,,,,,P13073,,,,,,N/A
404,,,,,,,,,,,,,,Q9NUL7,,,,,,N/A
405,,,,,,,,,,,,,,Q7L2E3,,,,,,N/A
406,,,,,,,,,,,,,,Q8IVH4,,,,,,N/A
407,,,,,,,,,,,,,,Q8TB37,,,,,,N/A
408,,,,,,,,,,,,,,Q16718,,,,,,N/A
409,,,,,,,,,,,,,,O14548,,,,,,N/A
410,,,,,,,,,,,,,,Q96ER9,,,,,,N/A
411,,,,,,,,,,,,,,O43572,,,,,,N/A
412,,,,,,,,,,,,,,Q9UI09,,,,,,N/A
413,,,,,,,,,,,,,,Q96T66,,,,,,N/A
414,,,,,,,,,,,,,,P15538,,,,,,N/A
415,,,,,,,,,,,,,,Q16822,,,,,,N/A
416,,,,,,,,,,,,,,P42704,,,,,,N/A
417,,,,,,,,,,,,,,Q9UJZ1,,,,,,N/A
418,,,,,,,,,,,,,,Q9UKU7,,,,,,N/A
419,,,,,,,,,,,,,,Q5VWZ2,,,,,,N/A
420,,,,,,,,,,,,,,O75828,,,,,,N/A
421,,,,,,,,,,,,,,Q9NRP2,,,,,,N/A
422,,,,,,,,,,,,,,Q7Z7K0,,,,,,N/A
423,,,,,,,,,,,,,,Q9UJ68,,,,,,N/A
424,,,,,,,,,,,,,,P47985,,,,,,N/A
425,,,,,,,,,,,,,,Q8N5Z0,,,,,,N/A
426,,,,,,,,,,,,,,P00387,,,,,,N/A
427,,,,,,,,,,,,,,P03923,,,,,,N/A
428,,,,,,,,,,,,,,Q969G6,,,,,,N/A
429,,,,,,,,,,,,,,Q9UF12,,,,,,N/A
430,,,,,,,,,,,,,,Q8IXI2,,,,,,N/A
431,,,,,,,,,,,,,,Q9Y277,,,,,,N/A
432,,,,,,,,,,,,,,O15091,,,,,,N/A
