,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
58,O75600,P10809,,P82650,,P33897,,,,,P04181,P35270,O43464,Q14790,Q9BT17,P53396,Q15118,Q8N983,Q9BSE5,N/A
59,O95140,Q9BXM7,,O95169,,O95831,,,,,P10515,P30041,Q8IVS2,P21796,P00505,Q9NQ50,Q96QU6,Q13825,O14561,N/A
60,O60220,O60260,,Q9GZT3,,P43155,,,,,Q07812,P12235,O14561,O43678,Q9Y2S7,Q16548,Q6P4F2,Q9BUB7,Q02218,N/A
61,P49411,Q16635,,P0DJ07,,Q99807,,,,,P53007,A6NK06,O95140,Q00059,Q8NI37,P49773,O75027,Q96DA6,Q9UJS0,N/A
62,P03928,Q9H4A6,,Q8N490,,P04179,,,,,Q9UQ90,Q99798,P25325,P51659,P35270,P00390,P10620,Q9BSE5,Q13085,N/A
63,P27338,O43819,,P00414,,P07203,,,,,P10809,O00154,P78540,Q13057,Q9UQ90,Q92934,Q9Y3B8,P04040,P30536,N/A
64,P21397,P30536,,P00441,,P04040,,,,,P25325,P12236,P27144,Q00325,P35232,P25325,P17612,P05165,Q9Y276,N/A
65,O75390,P03923,,P14406,,P00441,,,,,P99999,Q16635,A6NK06,O00429,P38646,Q16698,Q00059,Q9H4I9,P21549,N/A
66,Q9UL12,O60218,,Q9P032,,Q02127,,,,,P78540,P00395,P55916,P35270,P17540,Q96QU6,P21912,Q96I51,P04181,N/A
67,Q99623,Q96RP9,,Q9H845,,P36969,,,,,Q9UL12,P17540,P33897,P17540,P12532,P38646,P49748,P55789,P20674,N/A
68,P20674,P05091,,Q96AG3,,Q9Y2D0,,,,,Q16836,P12532,O75390,P12532,Q9NP92,Q9Y2S7,Q9BZ23,O43819,P36551,N/A
69,P36551,P00414,,Q9NPL8,,P03915,,,,,Q9UI32,Q8WUD6,Q9HCL2,Q8WUD6,Q9NVV4,Q9BT17,P55211,Q8TB36,O75390,N/A
70,Q5JRX3,P03928,,A1L188,,P03897,,,,,Q14790,Q86YH6,O15528,O15528,Q00325,O94925,Q9UBX3,P49773,P30048,N/A
71,,P09110,,Q9HC21,,P03901,,,,,P12235,Q8NI37,Q86Y79,P55211,P49327,Q9NRD5,P00367,P21549,Q04837,N/A
72,,P00395,,O60313,,P03923,,,,,Q9H611,Q00325,Q9Y3E5,O14561,P27338,Q9UI32,Q07812,O60313,Q00059,N/A
73,,,,P11498,,O00408,,,,,P55851,O95831,O43678,P35218,P21397,Q99797,P33121,Q16891,Q9BXM7,N/A
74,,,,P19404,,P06746,,,,,P00390,Q08257,Q14790,P55957,Q8N490,Q02978,A6NK06,Q13057,Q99497,N/A
75,,,,P03886,,P23786,,,,,Q5SXM8,P51659,P30405,P00390,P21912,Q15070,Q96A46,P78540,O75027,N/A
76,,,,P03915,,P50416,,,,,P12236,P49327,P21796,Q16836,P55957,P53701,O94761,P32119,P28838,N/A
77,,,,Q16822,,,,,,,P22570,P00390,P40926,O95831,P02794,O43678,Q9HD23,Q9NP80,P17540,N/A
78,,,,Q8N183,,,,,,,Q07973,O60313,Q9NRD5,P36957,Q9NYZ2,Q9NWT8,Q09013,,P12532,N/A
79,,,,P11177,,,,,,,P52758,Q96E52,Q9Y3B8,O60218,P23368,P19404,P23434,,,N/A
80,,,,Q14249,,,,,,,O94925,P48735,Q07817,O94925,Q16836,P13804,Q8NFF5,,,N/A
81,,,,Q969S9,,,,,,,Q13423,Q9H300,Q14249,Q02218,Q8N4E7,P17152,O00408,,,N/A
82,,,,Q86YH6,,,,,,,P17568,P21549,Q9NUL7,Q5JRX3,O00429,Q8IVH4,Q6J4K2,,,N/A
83,,,,Q9Y3A0,,,,,,,P48728,P30044,Q7L2E3,Q4J6C6,Q9H936,P04181,O75439,,,N/A
84,,,,O75964,,,,,,,P53701,O43236,P51659,Q99623,O00154,Q07812,P00390,,,N/A
85,,,,Q9Y234,,,,,,,Q9BQT8,O14561,P25874,Q9BXM7,O15528,Q16762,Q16762,,,N/A
86,,,,P00403,,,,,,,Q5T2R2,Q16795,Q16595,P21549,Q99623,Q7Z4W1,Q9HBH1,,,N/A
87,,,,P06746,,,,,,,Q14296,Q96H96,P40939,Q9NP81,Q96EY8,P24752,O75964,,,N/A
88,,,,P12074,,,,,,,P40939,Q8IVS2,O94925,P13804,P45880,O75251,P00156,,,N/A
