,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006088539254388772,0.009867019836330643,0.003439391731453328,0.011615290643255043,0.01083055125482365,0.008610520328181541,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006088362073842762,0.009524145712887429,0.003439361818060928,0.011560334547845346,0.01082757129183571,0.008485014038946956,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006087737159103413,0.009512696891589834,0.003439269997306964,0.01154301265152961,0.01082162116137608,0.008483571130786521,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006087152879272886,0.009502238376166828,0.003439060629075898,0.011523249963897293,0.010821381464186798,0.008479808944726164,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060857314800934394,0.009492439033101171,0.0034387955068450283,0.011511739600114514,0.010815357679292205,0.008471515474183048,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006085287928543219,0.009492138361881522,0.0034386284067775977,0.01150181183818292,0.010799303580764594,0.008467330062398408,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060845557830902005,0.00944802302530297,0.003438582792529813,0.011499052578591042,0.010783207731414463,0.008466153058970085,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060842247683219495,0.009426293277696377,0.0034376845693897978,0.011498613508117045,0.010720003971538085,0.008464267593563656,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006083783843204767,0.00938087130968469,0.0034374669965152416,0.011496346036332638,0.010717227686163944,0.008444298488569944,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060827951483925355,0.00913547033794771,0.0034373556454727625,0.011480051908582992,0.010137432510469738,0.008400804879481149,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006080457152228321,0.009073515704723414,0.0034368806467823337,0.011467273359112731,0.010137432510469738,0.007651833030525962,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006079996522786839,0.008756752360398039,0.0034360399247031787,0.011462995050752298,0.0101294329124704,0.007296608627357404,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006076683393871579,0.008756752360398039,0.003435960104589872,0.011408147163548495,0.010106599273821404,0.007294150121543314,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006075621098453901,0.008749759868868357,0.0034350125082726747,0.011394909048658195,0.010105850781357076,0.007292117253531655,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006070046185773964,0.008747185291893503,0.003431664029951032,0.011382155335869448,0.01009895126244628,0.007290648676538716,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006068451814955102,0.00874292985376383,0.003427276299275182,0.011000693292251994,0.010087827933492615,0.007288309291674834,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006068451814955102,0.008742464779911016,0.0034262000661860557,0.011000625170100257,0.010075384653507295,0.007286618011702666,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060667481149216575,0.008741565211328113,0.003425140913003652,0.0109826013863051,0.010045797418389915,0.007285492745786177,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006065573833239572,0.008670114203667152,0.0034245075576327263,0.010975512469296622,0.00998751783273097,0.007284665052605981,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006064210746703537,0.008645417269712501,0.00342294318629493,0.010960888018951578,0.009951329338755623,0.007284153135291323,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060595030632176776,0.008557787894880124,0.003422076096839855,0.010959878202332535,0.009948352420033446,0.0072817965706507845,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006057544038733491,0.0082653144385576,0.003422076096839855,0.010938050719816472,0.00937286269126056,0.007268738731065578,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005963930810769015,0.008246889063062156,0.0034211153590209837,0.010927753369453857,0.009334309488524484,0.007264315192466616,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059392994460416145,0.007852631831305922,0.0034204531668510915,0.01041285992065408,0.009323690373868728,0.007260735270245382,0.0,0.0,0.0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005799218314721256,0.007851560491569544,0.003413841085200283,0.010407239740045184,0.009323690373868728,0.0072522337920130344,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005798316061863702,0.00784150354570559,0.003410710511792497,0.010365265968755116,0.009321582998835535,0.0072450432561712436,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005723362108614093,0.007841332917165817,0.0034096826936616488,0.010365249089636966,0.00931095652881993,0.007234991361366078,0.0,0.0,0.0
