doc_id	label_id
15365173	0
11802455	0
22517755	0
16151635	0
26683077	0
16532388	0
24569607	0
19527690	0
29562793	0
28320155	0
16705513	0
20628600	0
27984598	0
21918550	0
17292333	0
23572439	0
31605306	0
22970697	0
31077085	0
31234430	0
28027875	0
16604388	0
12446713	0
16137960	0
22773905	0
32157656	0
26252090	0
19026397	0
19836344	0
20454697	0
15582159	0
18775412	0
26647310	0
24319328	0
24256876	0
20407791	0
12436196	0
22589247	0
27798429	0
17512723	0
24846978	0
26892229	0
17320357	0
15365178	0
29579248	0
11752023	0
21275598	0
27613247	0
17169568	0
29444077	0
28444329	0
17822909	0
15347646	0
17003408	0
15282189	0
21203403	0
18835817	0
23665487	0
16402322	0
20711738	0
27449621	0
23545042	0
12905709	0
19299492	0
16751977	0
33180495	0
19710705	0
31584786	0
22669418	0
22879922	0
23805034	0
15505787	0
22400981	0
16380132	0
23398673	0
19555656	0
17296905	0
24800637	0
23748049	0
29366807	0
15656090	0
31939618	0
18216301	0
24158608	0
24884847	0
14691401	0
18771762	0
12815198	0
22194643	0
15033723	0
28768321	0
19497304	0
20643099	0
29116953	0
27127184	0
24396955	0
27497748	0
12605258	0
15720387	0
16523300	0
19915464	0
20943885	0
17668373	0
23973714	0
11952088	0
27159682	0
27177320	0
15838728	0
23170061	0
19015050	0
28944608	0
19726426	0
11741983	0
20021885	0
25179213	0
31776719	0
30597069	0
27721048	0
17652639	0
12524521	1
10025431	1
27197761	1
8711813	1
19027590	1
18753147	1
1424348	1
21708074	1
24003133	1
15728662	1
18245391	1
24375076	1
11086393	1
30709774	1
10926287	1
23324391	1
9748738	1
28499982	1
9349609	1
21447323	1
21704194	1
22880419	1
16290150	1
20655066	1
15581630	1
22819233	1
22873568	1
32541454	1
15969653	1
19393775	1
10150831	1
9771776	1
11241464	1
15894869	1
10564713	1
25227147	1
26556812	1
25128282	1
25149473	1
7599205	1
12504210	1
21792976	1
31408922	1
8496710	1
28050007	1
19942242	1
9678517	1
31393068	1
7732778	1
15056184	1
7496173	1
12444382	1
16866982	1
10995506	1
25843656	1
12387454	1
9894888	1
11171912	1
9772417	1
16537564	1
29237403	1
16327654	1
27348141	1
11528158	1
12701227	1
22832341	1
19957502	1
20738020	1
16741938	1
20194621	1
23582502	1
17276738	1
9605391	1
17502560	1
8392410	1
20570288	1
15233272	1
9738940	1
9791004	1
11781695	1
17560506	1
30588737	1
8154867	1
21647632	1
15857931	1
10071173	1
8000105	1
28973171	1
15282179	1
19722047	1
9171323	1
24153443	1
7684581	1
21944974	1
8976130	1
16504796	1
15759134	1
14656719	1
15164188	1
18587274	1
1422200	1
23355809	1
32244971	1
8381271	1
9741403	1
22517274	1
18203188	1
22033022	1
23834081	1
23527980	1
7613232	1
21120938	1
19012224	1
11932978	1
17894844	1
27110715	1
12046063	1
18990125	1
20483008	1
14065754	1
26463265	1
26517220	1
15752543	1
17415700	2
29382469	2
17428816	2
16323009	2
30988455	2
24067127	2
20801145	2
16240368	2
17188070	2
31550237	2
26049142	2
22776096	2
22858546	2
23388408	2
29111013	2
29454676	2
15342707	2
26281626	2
14516807	2
28125838	2
21803037	2
31298765	2
29529134	2
20083290	2
22406748	2
27260406	2
17579882	2
24120325	2
23138851	2
28159969	2
26905822	2
30165240	2
28245802	2
18193945	2
17722006	2
17029191	2
26218912	2
16021496	2
16006781	2
17075502	2
26400325	2
25146916	2
18336293	2
17828551	2
17016536	2
20837821	2
29410463	2
14961560	2
19834041	2
27858935	2
30972688	2
29091347	2
12735796	2
23916084	2
25146915	2
23250881	2
23409176	2
19302076	2
31551424	2
18204809	2
28494813	2
19443720	2
26385429	2
27860320	2
25641387	2
31823625	2
16331355	2
25796301	2
28378518	2
18783614	2
24136862	2
20417568	2
22797356	2
26311407	2
26820596	2
24176854	2
22865259	2
15617556	2
23449689	2
26168012	2
21378995	2
12488262	2
29952689	2
14566653	2
27150940	2
26936288	2
31509793	2
15505825	2
25186535	2
30293569	2
20621843	2
21917770	2
17314202	2
17251483	2
22300878	2
19969356	2
21731710	2
12488251	2
24024178	2
20157369	2
18222991	2
25012220	2
12161614	2
12441838	2
33243194	2
31137067	2
24612963	2
16563384	2
20417570	2
25533789	2
28668999	2
25137924	2
32561926	2
25239028	2
22779427	2
24907432	2
18678599	2
29340645	2
28926202	2
27265430	2
20141358	2
24970096	2
19181907	2
22800932	2
18454199	2
20952381	2
26455272	2
12543739	2
23650221	2
23384603	2
15948788	2
22042570	2
12036970	2
27585216	2
22993284	2
11735024	2
27974214	2
21036400	2
27861891	2
28720802	2
29350691	2
16418602	2
23401657	2
31500643	2
17306754	2
12063046	2
20817698	2
31973973	2
19815013	2
28358911	2
20045077	2
